DEEKSHABHOOMI,NAGPUR,ALL
TAJ MAHAL,AGRA,ALL
TIGER POINT,MAHABALESHWAR,SUMMER
GATEWAY OF INDIA,MUMBAI,ALL
HAWA MAHAL,JAIPUR,WINTER
RUMTEK MONASTERY,GANGTOK,ALL
JAISALMER FORT,JAISALMER,WINTER
RAKH BAGH PARK,LUDHIANA,WINTER
VENKATESWARA TEMPLE,TIRUPATI,WINTER
SINHAGAD FORT,PUNE,WINTER
BENGALURU PALACE,BENGALURU,ALL
DAL LAKE,SRINAGAR,SUMMER
SABARMATI ASHRAM,AHMEDABAD,WINTER
KATIKI WATERFALLS,VISAKHAPATNAM,WINTER
MEENAKSHI TEMPLE,MADURAI,WINTER
MARINA BEACH,CHENNAI,WINTER
LAKSHMAN JHULA,RISHIKESH,ALL
VICTORIA MEMORIAL,KOLKATA,WINTER
SHANIWAR WADA,PUNE,ALL
KYNREM FALLS,CHERRAPUNJI,SUMMER
ELEPHANT FALLS,SHILLONG,SUMMER
MEHRANGARH FORT,JODHPUR,WINTER
GOVARDHAN HILL,MATHURA,WINTER
GWALIOR FORT,GWALIOR,ALL
NATHULA PASS,GANGTOK,SUMMER
NAHARGARH FORT,JAIPUR,ALL
DASHASHWAMEDHA GHAT,VARANASI,WINTER
ROCK GARDEN,DARJEELING,SUMMER
JANTAR MANTAR,JAIPUR,WINTER
ELEPHANTA ISLAND,MUMBAI,ALL
AJANTA ELLORA CAVES,AURANGABAD,WINTER
SITABULDI FORT,NAGPUR,WINTER
IMAM NASIR MASJID,JALANDHAR,WINTER
LODHI FORT,LUDHIANA,WINTER
MAHAKALESHWAR TEMPLE,UJJAIN,WINTER
LOWER LAKE,BHOPAL,ALL
GOLGHAR,PATNA,ALL
FORT AGUADA,PANAJI,ALL
KHANDADHAR FALLS,ROURKELA,ALL
DUMAS BEACH,SURAT,ALL
LAKSHMI VILAS PALACE,VADODARA,ALL
DHOBI WATERFALL,MAHABALESHWAR,SUMMER
SELA PASS,TAWANG,SUMMER
ASAD GAD FORT,AKOLA,WINTER
RANKALA LAKE,KOLHAPUR,WINTER
CUBBON PARK,BENGALURU,ALL
CHERAI BEACH,KOCHI,ALL
NAPIER MUSEUM,THIRUVANANTHAPURAM,ALL
NANDAN VAN ZOO,RAIPUR,ALL
TRIVENI GHAT,RISHIKESH,SUMMER
FOURTEEN GOD TEMPLE,AGARTALA,ALL
HERITAGE PARK,AGARTALA,ALL
KHUSRO BAGH,ALLAHABAD,WINTER
ALLAHABAD FORT,ALLAHABAD,WINTER
ROBBERS' CAVE,DEHRADUN,SUMMER
TAPKESHWAR TEMPLE,DEHRADUN,SUMMER
MALSI DEER PARK,DEHRADUN,SUMMER
KAMKHYA TEMPLE,GUWAHATI,WINTER
ASSAM GATE MUSEUM,GUWAHATI,WINTER
KANGALA PALACE,IMPHAL,WINTER
SHRI SHRI GOVINDJI TEMPLE,IMPHAL,WINTER
RAJWADA PALACE,INDORE,WINTER
LAL BAGH PALACE,INDORE,WINTER
KANPUR ZOOLOGICAL PARK,KANPUR,WINTER
NANA RAO PARK,KANPUR,WINTER
KISHORE SAGAR,KOTA,WINTER
SEVEN WONDERS PARK,KOTA,WINTER
TAGORE HILL,RANCHI,WINTER
KANKE DAM,RANCHI,WINTER
THE RIDGE,SHIMLA,SUMMER
JAKHOO,SHIMLA,SUMMER
